Sr. No.,Family,Subfamily,Tribe,Scientific Name,Common Name,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
882,Pieridae,Charaxinae,Charaxini,Charaxes marmax,Yellow Rajah,,,,,,,,,,,,,,,,,,,,
883,Pieridae,Charaxinae,Charaxini,Charaxes arja,Pallid Nawab,,,,,,,,,,,,,,,,,,,,
884,Pieridae,Charaxinae,Charaxini,Charaxes delphis,Jewelled Nawab,,,,,,,,,,,,,,,,,,,,
885,Pieridae,Charaxinae,Charaxini,Charaxes dolon,Stately Nawab,,,,,,,,,,,,,,,,,,,,
886,Pieridae,Charaxinae,Charaxini,Charaxes eudamippus,Great Nawab,,,,,,,,,,,,,,,,,,,,
887,Pieridae,Charaxinae,Charaxini,Charaxes moori,Creamy Nawab,,,,,,,,,,,,,,,,,,,,
888,Pieridae,Charaxinae,Charaxini,Charaxes narcaeus,Conjoined Nawab,,,,,,,,,,,,,,,,,,,,
889,Pieridae,Charaxinae,Charaxini,Charaxes schreiber,Blue Nawab,,,,,,,,,,,,,,,,,,,,
890,Pieridae,Charaxinae,Prothoini,Prothoe franck,Blue Begum,,,,,,,,,,,,,,,,,,,,
891,Pieridae,Calinaginae,Calinagini,Calinaga buddha,Orange-breasted Freak,,,,,,,,,,,,,,,,,,,,
892,Pieridae,Calinaginae,Calinagini,Calinaga gautama,Elongated Freak,,,,,,,,,,,,,,,,,,,,
893,Pieridae,Calinaginae,Calinagini,Calinaga aborica,Dark Freak,,,,,,,,,,,,,,,,,,,,
894,Pieridae,Calinaginae,Calinagini,Calinaga brahma,Orange-backed Freak,,,,,,,,,,,,,,,,,,,,
895,Pieridae,Satyrinae,Amathusiini,Aemona amathusia,Yellow Dryad,,,,,,,,,,,,,,,,,,,,
896,Pieridae,Satyrinae,Amathusiini,Amathusia andamanensis,Andaman Palmking,,,,,,,,,,,,,,,,,,,,
897,Pieridae,Satyrinae,Amathusiini,Amathusia travancorica,Travancore Palmking,,,,,,,,,,,,,,,,,,,,
898,Pieridae,Satyrinae,Amathusiini,Amathuxidia amythaon,Koh-i-Noor,,,,,,,,,,,,,,,,,,,,
899,Pieridae,Satyrinae,Amathusiini,Discophora deo de,Yellow-banded Duffer,,,,,,,,,,,,,,,,,,,,
900,Pieridae,Satyrinae,Amathusiini,Discophora lepida,Blue-banded Duffer,,,,,,,,,,,,,,,,,,,,
901,Pieridae,Satyrinae,Amathusiini,Discophora sondaica,Common Duffer,,,,,,,,,,,,,,,,,,,,
902,Pieridae,Satyrinae,Amathusiini,Discophora timora,Great Duffer,,,,,,,,,,,,,,,,,,,,
903,Pieridae,Satyrinae,Amathusiini,Enispe cycnus,Blue Caliph,,,,,,,,,,,,,,,,,,,,
904,Pieridae,Satyrinae,Amathusiini,Enispe euthymius,Red Caliph,,,,,,,,,,,,,,,,,,,,
905,Pieridae,Satyrinae,Amathusiini,Enispe duranius,Intermediate Caliph,,,,,,,,,,,,,,,,,,,,
906,Pieridae,Satyrinae,Amathusiini,Faunis canens,Common Faun,,,,,,,,,,,,,,,,,,,,
907,Pieridae,Satyrinae,Amathusiini,Faunis eumeus,Large Faun,,,,,,,,,,,,,,,,,,,,
908,Pieridae,Satyrinae,Amathusiini,Melanocyma faunula,Pallid Faun,,,,,,,,,,,,,,,,,,,,
909,Pieridae,Satyrinae,Amathusiini,Stichophthalma camadeva,Cerulean Junglequeen,,,,,,,,,,,,,,,,,,,,
910,Pieridae,Satyrinae,Amathusiini,Stichophthalma nourmahal,Chocolate Junglequeen,,,,,,,,,,,,,,,,,,,,
911,Pieridae,Satyrinae,Amathusiini,Stichophthalma nurinissa de,Nurinissa Junglequeen,,,,,,,,,,,,,,,,,,,,
912,Pieridae,Satyrinae,Amathusiini,Stichophthalma sparta de,Amber Junglequeen,,,,,,,,,,,,,,,,,,,,
913,Pieridae,Satyrinae,Amathusiini,Thaumantis diores,Jungleglory,,,,,,,,,,,,,,,,,,,,
914,Pieridae,Satyrinae,Amathusiini,Thauria lathyi,Brandless Jungleking,,,,,,,,,,,,,,,,,,,,
915,Pieridae,Satyrinae,Elymniini,Elymnias malelas,Spotted Palmfly,,,,,,,,,,,,,,,,,,,,
916,Pieridae,Satyrinae,Elymniini,Elymnias nesaea,Tiger Palmfly,,,,,,,,,,,,,,,,,,,,
917,Pieridae,Satyrinae,Elymniini,Elymnias obnubila,Chestnut Palmfly,,,,,,,,,,,,,,,,,,,,
918,Pieridae,Satyrinae,Elymniini,Elymnias panthera,Studded Palmfly,,,,,,,,,,,,,,,,,,,,
919,Pieridae,Satyrinae,Elymniini,Elymnias patna,Blue-striped Palmfly,,,,,,,,,,,,,,,,,,,,
920,Pieridae,Satyrinae,Elymniini,Elymnias peali,Brahmaputra Palmfly,,,,,,,,,,,,,,,,,,,,
921,Pieridae,Satyrinae,Elymniini,Elymnias penanga,Pointed Palmfly,,,,,,,,,,,,,,,,,,,,
922,Pieridae,Satyrinae,Elymniini,Elymnias vasudeva,Jezebel Palmfly,,,,,,,,,,,,,,,,,,,,
923,Pieridae,Satyrinae,Melanitini,Cyllogenes suradeva,Branded Evening Brown,,,,,,,,,,,,,,,,,,,,
924,Pieridae,Satyrinae,Melanitini,Cyllogenes janetae de,Scarce Evening Brown,,,,,,,,,,,,,,,,,,,,
925,Pieridae,Satyrinae,Melanitini,Melanitis phedima,Dark Evening Brown,,,,,,,,,,,,,,,,,,,,
926,Pieridae,Satyrinae,Melanitini,Melanitis zitenius,Great Evening Brown,,,,,,,,,,,,,,,,,,,,
927,Pieridae,Satyrinae,Melanitini,Parantirrhoea marshalli,Travancore Evening Brown,,,,,,,,,,,,,,,,,,,,
928,Pieridae,Satyrinae,Satyrini,Aulocera brahminus,Narrow-banded Satyr,,,,,,,,,,,,,,,,,,,,
929,Pieridae,Satyrinae,Satyrini,Aulocera brahminoides,Glossy Satyr,,,,,,,,,,,,,,,,,,,,
930,Pieridae,Satyrinae,Satyrini,Aulocera loha,Eyeless Satyr,,,,,,,,,,,,,,,,,,,,
931,Pieridae,Satyrinae,Satyrini,Aulocera padma,Great Satyr,,,,,,,,,,,,,,,,,,,,
932,Pieridae,Satyrinae,Satyrini,Aulocera saraswati,Striated Satyr,,,,,,,,,,,,,,,,,,,,
933,Pieridae,Satyrinae,Satyrini,Aulocera swaha,Common Satyr,,,,,,,,,,,,,,,,,,,,
934,Pieridae,Satyrinae,Satyrini,Callerebia annada,Ringed Argus,,,,,,,,,,,,,,,,,,,,
935,Pieridae,Satyrinae,Satyrini,Callerebia baileyi,White-bordered Argus,,,,,,,,,,,,,,,,,,,,
936,Pieridae,Satyrinae,Satyrini,Callerebia dibangensis,Bright-eyed Argus,,,,,,,,,,,,,,,,,,,,
937,Pieridae,Satyrinae,Satyrini,Callerebia hybrida,Hybrid Argus,,,,,,,,,,,,,,,,,,,,
938,Pieridae,Satyrinae,Satyrini,Callerebia hyagriva,Brown Argus,,,,,,,,,,,,,,,,,,,,
939,Pieridae,Satyrinae,Satyrini,Callerebia narasingha,Mottled Argus,,,,,,,,,,,,,,,,,,,,
940,Pieridae,Satyrinae,Satyrini,Callerebia nirmala,Common Argus,,,,,,,,,,,,,,,,,,,,
941,Pieridae,Satyrinae,Satyrini,Callerebia orixa,Orixa Argus,,,,,,,,,,,,,,,,,,,,
942,Pieridae,Satyrinae,Satyrini,Callerebia scanda,Pallid Argus,,,,,,,,,,,,,,,,,,,,
943,Pieridae,Satyrinae,Satyrini,Callerebia suroia,Basal Argus,,,,,,,,,,,,,,,,,,,,
944,Pieridae,Satyrinae,Satyrini,Callerebia watsoni,Bent Argus,,,,,,,,,,,,,,,,,,,,
945,Pieridae,Satyrinae,Satyrini,Paralasa chitralica,Yellow-eyed Mountain Argus,,,,,,,,,,,,,,,,,,,,
946,Pieridae,Satyrinae,Satyrini,Paralasa kalinda,Scarce Mountain Argus,,,,,,,,,,,,,,,,,,,,
947,Pieridae,Satyrinae,Satyrini,Paralasa mani,Yellow Mountain Argus,,,,,,,,,,,,,,,,,,,,
948,Pieridae,Satyrinae,Satyrini,Paralasa shallada,Brown-eyed Mountain Argus,,,,,,,,,,,,,,,,,,,,
949,Pieridae,Satyrinae,Satyrini,Chazara heydenreichi,Altai Rockbrown,,,,,,,,,,,,,,,,,,,,
950,Pieridae,Satyrinae,Satyrini,Chazara enervata,Enervated Rockbrown,,,,,,,,,,,,,,,,,,,,
951,Pieridae,Satyrinae,Satyrini,Chonala masoni,Chumbi Wall,,,,,,,,,,,,,,,,,,,,
952,Pieridae,Satyrinae,Satyrini,Coelites nothis,Scarce Catseye,,,,,,,,,,,,,,,,,,,,
953,Pieridae,Satyrinae,Satyrini,Erites falcipennis,Common Cyclops,,,,,,,,,,,,,,,,,,,,
954,Pieridae,Satyrinae,Satyrini,Hipparchia parisatis,White-edged Rockbrown,,,,,,,,,,,,,,,,,,,,
955,Pieridae,Satyrinae,Satyrini,Hyponephele brevistigma,Short-branded Meadowbrown,,,,,,,,,,,,,,,,,,,,
956,Pieridae,Satyrinae,Satyrini,Hyponephele carbonelli,Dark Meadowbrown,,,,,,,,,,,,,,,,,,,,
957,Pieridae,Satyrinae,Satyrini,Hyponephele cheena,Cheena Meadowbrown,,,,,,,,,,,,,,,,,,,,
958,Pieridae,Satyrinae,Satyrini,Hyponephele coenonympha,Spotted Meadowbrown,,,,,,,,,,,,,,,,,,,,
959,Pieridae,Satyrinae,Satyrini,Hyponephele davendra,White-ringed Meadowbrown,,,,,,,,,,,,,,,,,,,,
960,Pieridae,Satyrinae,Satyrini,Hyponephele huebneri,Tawny Branded Meadowbrown,,,,,,,,,,,,,,,,,,,,
961,Pieridae,Satyrinae,Satyrini,Hyponephele kashmirensis,Kashmir Meadowbrown,,,,,,,,,,,,,,,,,,,,
962,Pieridae,Satyrinae,Satyrini,Hyponephele pulchella,Tawny Meadowbrown,,,,,,,,,,,,,,,,,,,,
963,Pieridae,Satyrinae,Satyrini,Hyponephele pulchra,Beautiful Meadowbrown,,,,,,,,,,,,,,,,,,,,
964,Pieridae,Satyrinae,Satyrini,Hyponephele tenuistigma,Lesser White-ringed Meadowbrown,,,,,,,,,,,,,,,,,,,,
965,Pieridae,Satyrinae,Satyrini,Hyponephele latistigma,Broad-banded Meadowbrown,,,,,,,,,,,,,,,,,,,,
966,Pieridae,Satyrinae,Satyrini,Karanasa huebneri,Tawny Satyr,,,,,,,,,,,,,,,,,,,,
967,Pieridae,Satyrinae,Satyrini,Karanasa boloricus,Bolor Satyr,,,,,,,,,,,,,,,,,,,,
968,Pieridae,Satyrinae,Satyrini,Karanasa leechi,Hindu Kush Satyr,,,,,,,,,,,,,,,,,,,,
969,Pieridae,Satyrinae,Satyrini,Karanasa moorei,Chitral Satyr,,,,,,,,,,,,,,,,,,,,
970,Pieridae,Satyrinae,Satyrini,Karanasa pupilata,Pupilled Satyr,,,,,,,,,,,,,,,,,,,,
971,Pieridae,Satyrinae,Satyrini,Karanasa modesta,Modest Satyr,,,,,,,,,,,,,,,,,,,,
972,Pieridae,Satyrinae,Satyrini,Karanasa astorica,Astor Satyr,,,,,,,,,,,,,,,,,,,,
973,Pieridae,Satyrinae,Satyrini,Karanasa rohtanga,Rohtang Satyr,,,,,,,,,,,,,,,,,,,,
974,Pieridae,Satyrinae,Satyrini,Karanasa cadesia,Burzil Satyr,,,,,,,,,,,,,,,,,,,,
975,Pieridae,Satyrinae,Satyrini,Kanetisa digna,Chitrali Satyr,,,,,,,,,,,,,,,,,,,,
976,Pieridae,Satyrinae,Satyrini,Satyrus pimpla,Chocolate Satyr,,,,,,,,,,,,,,,,,,,,
977,Pieridae,Satyrinae,Satyrini,Satyrus alaica,Alai Satyr,,,,,,,,,,,,,,,,,,,,
978,Pieridae,Satyrinae,Satyrini,Kirinia eversmanni,Yellow Wall,,,,,,,,,,,,,,,,,,,,
979,Pieridae,Satyrinae,Satyrini,Lasiommata menava,Dark Wall,,,,,,,,,,,,,,,,,,,,
980,Pieridae,Satyrinae,Satyrini,Lasiommata maerula,Scarce Wall,,,,,,,,,,,,,,,,,,,,
981,Pieridae,Satyrinae,Satyrini,Lasiommata schakra,Common Wall,,,,,,,,,,,,,,,,,,,,
982,Pieridae,Satyrinae,Satyrini,Lethe atkinsonia,Small Goldenfork,,,,,,,,,,,,,,,,,,,,
983,Pieridae,Satyrinae,Satyrini,Lethe baladeva,Treble Silverstripe,,,,,,,,,,,,,,,,,,,,
984,Pieridae,Satyrinae,Satyrini,Lethe bhairava,Rusty Forester,,,,,,,,,,,,,,,,,,,,
985,Pieridae,Satyrinae,Satyrini,Lethe brisanda de,Dark Forester,,,,,,,,,,,,,,,,,,,,
986,Pieridae,Satyrinae,Satyrini,Lethe chandica,Angled Red Forester,,,,,,,,,,,,,,,,,,,,
987,Pieridae,Satyrinae,Satyrini,Lethe confusa,Banded Treebrown,,,,,,,,,,,,,,,,,,,,
988,Pieridae,Satyrinae,Satyrini,Lethe dakwania,White-wedged Woodbrown,,,,,,,,,,,,,,,,,,,,
989,Pieridae,Satyrinae,Satyrini,Lethe distans,Scarce Red Forester,,,,,,,,,,,,,,,,,,,,
990,Pieridae,Satyrinae,Satyrini,Lethe dura,Scarce Lilacfork,,,,,,,,,,,,,,,,,,,,
991,Pieridae,Satyrinae,Satyrini,Lethe tamuna de,Clear-eyed Treebrown,,,,,,,,,,,,,,,,,,,,
992,Pieridae,Satyrinae,Satyrini,Lethe gemina,Silverline Treebrown,,,,,,,,,,,,,,,,,,,,
993,Pieridae,Satyrinae,Satyrini,Lethe goalpara,Large Goldenfork,,,,,,,,,,,,,,,,,,,,
994,Pieridae,Satyrinae,Satyrini,Lethe gulnihal de,Dull Forester,,,,,,,,,,,,,,,,,,,,
995,Pieridae,Satyrinae,Satyrini,Lethe isana,Common Forester,,,,,,,,,,,,,,,,,,,,
996,Pieridae,Satyrinae,Satyrini,Lethe jalaurida,Small Silverfork,,,,,,,,,,,,,,,,,,,,
997,Pieridae,Satyrinae,Satyrini,Lethe kabrua,Manipur Goldenfork,,,,,,,,,,,,,,,,,,,,
998,Pieridae,Satyrinae,Satyrini,Lethe kanjupkula,Broken Woodbrown,,,,,,,,,,,,,,,,,,,,
999,Pieridae,Satyrinae,Satyrini,Lethe kansa,Bamboo Forester,,,,,,,,,,,,,,,,,,,,
1000,Pieridae,Satyrinae,Satyrini,Lethe latiaris,Pale Forester,,,,,,,,,,,,,,,,,,,,
1001,Pieridae,Satyrinae,Satyrini,Lethe maitrya de,Barred Woodbrown,,,,,,,,,,,,,,,,,,,,
1002,Pieridae,Satyrinae,Satyrini,Lethe margaritae,Bhutan Treebrown,,,,,,,,,,,,,,,,,,,,
1003,Pieridae,Satyrinae,Satyrini,Lethe mekara,Common Red Forester,,,,,,,,,,,,,,,,,,,,
1004,Pieridae,Satyrinae,Satyrini,Lethe minerva,Branded Red Forester,,,,,,,,,,,,,,,,,,,,
1005,Pieridae,Satyrinae,Satyrini,Lethe moelleri,Plain Silverfork,,,,,,,,,,,,,,,,,,,,
1006,Pieridae,Satyrinae,Satyrini,Lethe naga,Naga Treebrown,,,,,,,,,,,,,,,,,,,,
1007,Pieridae,Satyrinae,Satyrini,Lethe nicetas,Yellow Woodbrown,,,,,,,,,,,,,,,,,,,,
1008,Pieridae,Satyrinae,Satyrini,Lethe nicetella de,Small Woodbrown,,,,,,,,,,,,,,,,,,,,
1009,Pieridae,Satyrinae,Satyrini,Lethe ocellata,Dismal Mystic,,,,,,,,,,,,,,,,,,,,
1010,Pieridae,Satyrinae,Satyrini,Lethe ramadeva,Single Silverstripe,,,,,,,,,,,,,,,,,,,,
1011,Pieridae,Satyrinae,Satyrini,Lethe sadona,Sadon Dark Forester,,,,,,,,,,,,,,,,,,,,
1012,Pieridae,Satyrinae,Satyrini,Lethe satyavati de,Pallid Forester,,,,,,,,,,,,,,,,,,,,
1013,Pieridae,Satyrinae,Satyrini,Lethe scanda,Blue Forester,,,,,,,,,,,,,,,,,,,,
1014,Pieridae,Satyrinae,Satyrini,Lethe serbonis,Brown Forester,,,,,,,,,,,,,,,,,,,,
1015,Pieridae,Satyrinae,Satyrini,Lethe siderea,Scarce Woodbrown,,,,,,,,,,,,,,,,,,,,
1016,Pieridae,Satyrinae,Satyrini,Lethe sidonis,Common Woodbrown,,,,,,,,,,,,,,,,,,,,
1017,Pieridae,Satyrinae,Satyrini,Lethe sinorix,Tailed Red Forester,,,,,,,,,,,,,,,,,,,,
1018,Pieridae,Satyrinae,Satyrini,Lethe sura,Lilacfork,,,,,,,,,,,,,,,,,,,,
1019,Pieridae,Satyrinae,Satyrini,Lethe tristigmata,Spotted Mystic,,,,,,,,,,,,,,,,,,,,
1020,Pieridae,Satyrinae,Satyrini,Lethe verma,Straight-banded Treebrown,,,,,,,,,,,,,,,,,,,,
1021,Pieridae,Satyrinae,Satyrini,Lethe vindhya,Black Forester,,,,,,,,,,,,,,,,,,,,
1022,Pieridae,Satyrinae,Satyrini,Lethe visrava,White-edged Woodbrown,,,,,,,,,,,,,,,,,,,,
1023,Pieridae,Satyrinae,Satyrini,Neope armandii,Yellow Labyrinth,,,,,,,,,,,,,,,,,,,,
1024,Pieridae,Satyrinae,Satyrini,Neope bhadra,Tailed Labyrinth,,,,,,,,,,,,,,,,,,,,
1025,Pieridae,Satyrinae,Satyrini,Neope pulaha,Veined Labyrinth,,,,,,,,,,,,,,,,,,,,
1026,Pieridae,Satyrinae,Satyrini,Neope pulahoides,Large-spotted Labyrinth,,,,,,,,,,,,,,,,,,,,
1027,Pieridae,Satyrinae,Satyrini,Neope pulahina,Scarce Labyrinth,,,,,,,,,,,,,,,,,,,,
1028,Pieridae,Satyrinae,Satyrini,Neope yama,Dusky Labyrinth,,,,,,,,,,,,,,,,,,,,
1029,Pieridae,Satyrinae,Satyrini,Telinga adolphei,Red-eye Bushbrown,,,,,,,,,,,,,,,,,,,,
1030,Pieridae,Satyrinae,Satyrini,Telinga davisoni,Palni Bushbrown,,,,,,,,,,,,,,,,,,,,
1031,Pieridae,Satyrinae,Satyrini,Telinga heri,Large-eyed Bushbrown,,,,,,,,,,,,,,,,,,,,
1032,Pieridae,Satyrinae,Satyrini,Telinga lepcha,Lepcha Bushbrown,,,,,,,,,,,,,,,,,,,,
1033,Pieridae,Satyrinae,Satyrini,Telinga malsara,White-line Bushbrown,,,,,,,,,,,,,,,,,,,,
1034,Pieridae,Satyrinae,Satyrini,Telinga malsarida,Plain Bushbrown,,,,,,,,,,,,,,,,,,,,
1035,Pieridae,Satyrinae,Satyrini,Telinga mestra,White-edged Bushbrown,,,,,,,,,,,,,,,,,,,,
1036,Pieridae,Satyrinae,Satyrini,Telinga misenus,Salmon-branded Bushbrown,,,,,,,,,,,,,,,,,,,,
1037,Pieridae,Satyrinae,Satyrini,Telinga nicotia,Bright-eyed Bushbrown,,,,,,,,,,,,,,,,,,,,
1038,Pieridae,Satyrinae,Satyrini,Telinga oculus,Red-disc Bushbrown,,,,,,,,,,,,,,,,,,,,
1039,Pieridae,Satyrinae,Satyrini,Telinga watsoni,Many-eyed Bushbrown,,,,,,,,,,,,,,,,,,,,
1040,Pieridae,Satyrinae,Satyrini,Mycalesis adamsonii,Double-branded Bushbrown,,,,,,,,,,,,,,,,,,,,
1041,Pieridae,Satyrinae,Satyrini,Mycalesis anaxias,White-bar Bushbrown,,,,,,,,,,,,,,,,,,,,
1042,Pieridae,Satyrinae,Satyrini,Mycalesis evansii,Brandless Bushbrown,,,,,,,,,,,,,,,,,,,,
1043,Pieridae,Satyrinae,Satyrini,Mycalesis francisca,Lilacine Bushbrown,,,,,,,,,,,,,,,,,,,,
1044,Pieridae,Satyrinae,Satyrini,Mycalesis gotama,Straight-line Bushbrown,,,,,,,,,,,,,,,,,,,,
1045,Pieridae,Satyrinae,Satyrini,Mycalesis igilia,Bicoloured Bushbrown,,,,,,,,,,,,,,,,,,,,
1046,Pieridae,Satyrinae,Satyrini,Mycalesis intermedia,Intermediate Bushbrown,,,,,,,,,,,,,,,,,,,,
1047,Pieridae,Satyrinae,Satyrini,Mycalesis manii,Nicobarese Blind Bushbrown,,,,,,,,,,,,,,,,,,,,
1048,Pieridae,Satyrinae,Satyrini,Mycalesis mercea,Pachmarhi Bushbrown,,,,,,,,,,,,,,,,,,,,
1049,Pieridae,Satyrinae,Satyrini,Mycalesis mnasicles,Cyclops Bushbrown,,,,,,,,,,,,,,,,,,,,
1050,Pieridae,Satyrinae,Satyrini,Mycalesis mystes de,Many-tufted Bushbrown,,,,,,,,,,,,,,,,,,,,
1051,Pieridae,Satyrinae,Satyrini,Mycalesis orcha,Travancore Bushbrown,,,,,,,,,,,,,,,,,,,,
1052,Pieridae,Satyrinae,Satyrini,Mycalesis orseis,Purple Bushbrown,,,,,,,,,,,,,,,,,,,,
1053,Pieridae,Satyrinae,Satyrini,Mycalesis junonia,Malabar Glad-eye Bushbrown,,,,,,,,,,,,,,,,,,,,
1054,Pieridae,Satyrinae,Satyrini,Mycalesis patiana,Ochreous Bushbrown,,,,,,,,,,,,,,,,,,,,
1055,Pieridae,Satyrinae,Satyrini,Mycalesis radza,Andamanese Eyed Bushbrown,,,,,,,,,,,,,,,,,,,,
1056,Pieridae,Satyrinae,Satyrini,Mycalesis suaveolens,Vanilla Bushbrown,,,,,,,,,,,,,,,,,,,,
1057,Pieridae,Satyrinae,Satyrini,Oeneis buddha,Tibetan Satyr,,,,,,,,,,,,,,,,,,,,
1058,Pieridae,Satyrinae,Satyrini,Paroeneis bicolor,Bicolour Mountain Satyr,,,,,,,,,,,,,,,,,,,,
1059,Pieridae,Satyrinae,Satyrini,Paroeneis sikkimensis,Sikkim Mountain Satyr,,,,,,,,,,,,,,,,,,,,
1060,Pieridae,Satyrinae,Satyrini,Paroeneis pumilus,Ladakh Mountain Satyr,,,,,,,,,,,,,,,,,,,,
1061,Pieridae,Satyrinae,Satyrini,Orinoma damaris,Tigerbrown,,,,,,,,,,,,,,,,,,,,
1062,Pieridae,Satyrinae,Satyrini,Ragadia crisilda,White-striped Ringlet,,,,,,,,,,,,,,,,,,,,
1063,Pieridae,Satyrinae,Satyrini,Ragadia crito de,Dusky-striped Ringlet,,,,,,,,,,,,,,,,,,,,
1064,Pieridae,Satyrinae,Satyrini,Rhaphicera moorei,Small Tawny Wall,,,,,,,,,,,,,,,,,,,,
1065,Pieridae,Satyrinae,Satyrini,Rhaphicera satricus,Large Tawny Wall,,,,,,,,,,,,,,,,,,,,
1066,Pieridae,Satyrinae,Satyrini,Ypthima affectata,Affected Five-ring,,,,,,,,,,,,,,,,,,,,
1067,Pieridae,Satyrinae,Satyrini,Ypthima atra,Black Five-ring,,,,,,,,,,,,,,,,,,,,
1068,Pieridae,Satyrinae,Satyrini,Ypthima avanta,Jewel Five-ring,,,,,,,,,,,,,,,,,,,,
1069,Pieridae,Satyrinae,Satyrini,Ypthima bolanica,Desert Four-ring,,,,,,,,,,,,,,,,,,,,
1070,Pieridae,Satyrinae,Satyrini,Ypthima burmana,Large-eyed Three-ring,,,,,,,,,,,,,,,,,,,,
1071,Pieridae,Satyrinae,Satyrini,Ypthima cantliei,Great Four-ring,,,,,,,,,,,,,,,,,,,,
1072,Pieridae,Satyrinae,Satyrini,Ypthima ceylonica,White Four-ring,,,,,,,,,,,,,,,,,,,,
1073,Pieridae,Satyrinae,Satyrini,Ypthima chenu,Nilgiri Four-ring,,,,,,,,,,,,,,,,,,,,
1074,Pieridae,Satyrinae,Satyrini,Ypthima confusa,Confusing Three-ring,,,,,,,,,,,,,,,,,,,,
1075,Pieridae,Satyrinae,Satyrini,Ypthima dohertyi,Great Five-ring,,,,,,,,,,,,,,,,,,,,
1076,Pieridae,Satyrinae,Satyrini,Ypthima fusca,Dusky Three-ring,,,,,,,,,,,,,,,,,,,,
1077,Pieridae,Satyrinae,Satyrini,Ypthima hannyngtoni,Large Branded Five-ring,,,,,,,,,,,,,,,,,,,,
1078,Pieridae,Satyrinae,Satyrini,Ypthima indecora,Indecorous Five-ring,,,,,,,,,,,,,,,,,,,,
1079,Pieridae,Satyrinae,Satyrini,Ypthima iarba de,Jarba Four-ring,,,,,,,,,,,,,,,,,,,,
1080,Pieridae,Satyrinae,Satyrini,Ypthima kasmira,Kashmir Four-ring,,,,,,,,,,,,,,,,,,,,
1081,Pieridae,Satyrinae,Satyrini,Ypthima lisandra,Lisandra Four-ring,,,,,,,,,,,,,,,,,,,,
1082,Pieridae,Satyrinae,Satyrini,Ypthima lycus de,Plain Three-ring,,,,,,,,,,,,,,,,,,,,
1083,Pieridae,Satyrinae,Satyrini,Ypthima methora,Variegated Five-ring,,,,,,,,,,,,,,,,,,,,
1084,Pieridae,Satyrinae,Satyrini,Ypthima nareda,Large Three-ring,,,,,,,,,,,,,,,,,,,,
1085,Pieridae,Satyrinae,Satyrini,Ypthima newara,Newar Three-ring,,,,,,,,,,,,,,,,,,,,
1086,Pieridae,Satyrinae,Satyrini,Ypthima nikaea,West Himalayan Five-ring,,,,,,,,,,,,,,,,,,,,
1087,Pieridae,Satyrinae,Satyrini,Ypthima parasakra,Dubious Five-ring,,,,,,,,,,,,,,,,,,,,
1088,Pieridae,Satyrinae,Satyrini,Ypthima persimilis,Plain Five-ring,,,,,,,,,,,,,,,,,,,,
1089,Pieridae,Satyrinae,Satyrini,Ypthima sakra,Himalayan Five-ring,,,,,,,,,,,,,,,,,,,,
1090,Pieridae,Satyrinae,Satyrini,Ypthima sarcaposa,Bright Three-ring,,,,,,,,,,,,,,,,,,,,
1091,Pieridae,Satyrinae,Satyrini,Ypthima savara,Pallid Five-ring,,,,,,,,,,,,,,,,,,,,
1092,Pieridae,Satyrinae,Satyrini,Ypthima similis,Similar Five-ring,,,,,,,,,,,,,,,,,,,,
1093,Pieridae,Satyrinae,Satyrini,Ypthima singala,Sinhalese Five-ring,,,,,,,,,,,,,,,,,,,,
1094,Pieridae,Satyrinae,Satyrini,Ypthima striata,Striated Five-ring,,,,,,,,,,,,,,,,,,,,
1095,Pieridae,Satyrinae,Satyrini,Ypthima tabella,Sahyadri Baby Five-ring,,,,,,,,,,,,,,,,,,,,
1096,Pieridae,Satyrinae,Satyrini,Ypthima watsoni,Looped Three-ring,,,,,,,,,,,,,,,,,,,,
1097,Pieridae,Satyrinae,Satyrini,Ypthima ypthimoides,Palni Four-ring,,,,,,,,,,,,,,,,,,,,
1098,Pieridae,Satyrinae,Satyrini,Zipaetis saitis,Banded Catseye,,,,,,,,,,,,,,,,,,,,
1099,Pieridae,Satyrinae,Satyrini,Zipaetis scylax,Dark Catseye,,,,,,,,,,,,,,,,,,,,
1100,Pieridae,Satyrinae,Zetherini,Ethope himachala,Dusky Diadem,,,,,,,,,,,,,,,,,,,,
1101,Pieridae,Satyrinae,Zetherini,Neorina hilda,Yellow Owl,,,,,,,,,,,,,,,,,,,,
1102,Pieridae,Satyrinae,Zetherini,Neorina patria,White Owl,,,,,,,,,,,,,,,,,,,,
1103,Pieridae,Satyrinae,Zetherini,Penthema lisarda,Yellow Kaiser,,,,,,,,,,,,,,,,,,,,
1104,Lycaenidae,Poritiinae,Poritiini,Poritia hewitsoni,Common Gem,,,,,,,,,,,,,,,,,,,,
1105,Lycaenidae,Poritiinae,Poritiini,Poritia erycinoides,Blue Gem,,,,,,,,,,,,,,,,,,,,
1106,Lycaenidae,Poritiinae,Poritiini,Simiskina phalena,Broad-branded Brilliant,,,,,,,,,,,,,,,,,,,,
